trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
404,False,"{'a': 0.1, 'e': 0.06132056567829224}",20,4,28.838535890285343,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.1, 'e': 0.06089830117351191}",25,13,26.88066157620644,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.1, 'e': 0.06047894445847593}",30,8,15.377570145233687,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
407,False,"{'a': 0.1, 'e': 0.06006247550961827}",20,0,22.511713950691355,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
408,False,"{'a': 0.1, 'e': 0.05964887444125878}",20,8,22.872412217007952,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.1, 'e': 0.059238121504653705}",20,8,24.189903309629756,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.1, 'e': 0.05883019708705273}",35,18,20.175350748070738,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
411,False,"{'a': 0.1, 'e': 0.05842508171076245}",20,12,12.534020547592826,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.1, 'e': 0.05802275603221639}",30,14,12.337946162986842,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
413,False,"{'a': 0.1, 'e': 0.05762320084105142}",25,19,12.101468770012026,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.1, 'e': 0.05722639705919039}",25,12,21.282039760630756,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
